,ENVASES,,,,,,,,,,,,,,,,,,,,,,,
,PARÁMETROS,,,,,,,,,,,,,,,,,,,,,,,
PRODUCTO,COLOR,PESO,GRAMAJE,ANCHO,ALTURA,LARGO,DIÁMETRO EXTERNO,DIÁMETRO EXTERNO BOCA,DIÁMETRO,DIAMETRO SUPERIOR,DIAMETRO INFERIOR,N° PUENTES DE UNIÓN,FUELLE,CAPACIDAD DE REBOSE,CALIBRE,APARIENCIA,BASE DOSIFICADOR,OLOR,SABOR,TEXTURA,INDICE DE REFRACCIÓN,°Brix,pH,MATERIA EXTRAÑA
Tapa PET # 45,Verde Esmeralda,5.7,,,17.30 - 17.50 mm,,51.30 - 51.50 mm,,,,,10,,,,,,,,,,,,
Bolsa pack aceituna x 240g,Transparente,,33.81 - 36.63 gr/cm²,22.02 - 28.35 cm,33.33 - 42.86 cm,,,,,,,,,,,,,,,,,,,
Bolsa doy pack c/válvula x 1 kg,Transparente,,124.47 - 152.13 g/cm²,155 - 165 mm,,255 - 265 mm,,,,,,,75 - 85 mm,,,,,,,,,,,
Bolsa doy pack c/válvula x 500g,Transparente,,111.6 - 136.4 g/cm²,128 - 138 mm,,205 - 215 mm,,,,,,,70 - 80 mm,,,,,,,,,,,
Bolsa c/impresión aceituna x 1 kg,según patrón,,100 - 120 g/cm²,208 - 212 mm,,278 - 282 mm,,,,,,,,,,,,,,,,,,
Botella PET x 1.9 L,Cristal transparente,60 +/- 0.5 g,,,280 +/- 1 mm,,,24.86 +/- 0.2 mm,,,,,,1940 +/- 2 ml,,,,,,,,,,
Galonera PET x 3.785 L,Cristal transparente,90 +/- 0.2 g,,150.3 +/- 0.2 mm,321.4 +/- 1 mm,,,44.9 +/- 0.2 mm,,,,,,3800 +/- 6 ml,,,,,,,,,,
Botella PET x 1 L,Cristal transparente,47 g,,,278 +/- 0.5 mm,,,24 - 25.2 mm,,,,,,1018 +/- 0.5 ml,,,,,,,,,,
Botella PET x 60 ml,Cristal transparente,11 g,,28 mm,102 mm,,,25 mm,,,,,,,,,,,,,,,,
Botella oscura x 250 ml,Verde BI,225 +/- 10 g,,,212 +/- 1.5 mm,,,28 +/- 0.3 mm,,,,,,266 ml,,,,,,,,,,
Botella transparente x 250 ml,Transparente,225 +/-10 g,,,212 +/- 1.5 mm,,,28 +/- 0.3 mm,,,,,,266 ml,,,,,,,,,,
Botella transparente x 200 ml,Transparente,190 +/- 9 g,,,194 +/- 1.2 mm,,,28.09 mm,,,,,,214 +/- 4.5 ml,,,,,,,,,,
Botella transparente x 500 ml,Transparente,340 +/- 14 g,,,265 +/- 1.6 mm,,,28.09 mm,,,,,,524 +/- 7 ml,,,,,,,,,,
Caja N° 2 Aceite x 200 ml,Beige,,min 361 g/m²,23.5 +/- 0.2 cm,20 +/- 0.2 cm,34.5 +/-0.2 cm,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Caja N° 3 Salsa x 340 g,Beige,,min 361 g/m²,21.6 +/- 0.2 cm,22.3 +/- 0.2 cm,29.5 +/- 0.2 cm,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Caja N° 7 Sachet x 240 g,Beige,,min 361 g/m²,27 +/- 0.2 cm,15 +/- 0.2 cm,34 +/- 0.2 cm,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Caja N° 10 aceite x 500 ml,Beige,,min 361 g/m²,20 +/- 0.2 cm,28.2 +/- 0.2 cm,26.7 +/- 0.2 cm,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Caja N° 14 aceituna x 1 kg,Beige,,min 455 g/m²,28.8 +/- 0.2 cm,19.1 +/-0.2 cm,,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Caja N° 15 Aceite x 1 L,Beige,,min 361 g/m²,23.2 +/- 0.2 cm,28.2 +/- 0.2 cm,29.6 +/- 0.2 cm,,,,,,,,,4 +/- 0.32 mm,,,,,,,,,
Cápsula  botella x 250 ml,Dorado,,,,45 +/- 1 mm,,33 +/- 1 mm,,,,,,,,,,,,,,,,,
Capuchón tela finas hierbas,Verde oscuro,,,,,,,,11.9 +/- 0.2,,,,,,,Tela a cuadros borde zigzag ,,,,,,,,
Capuchón tela vinagreta,Verde claro,,,,,,,,11.9 +/- 0.2,,,,,,,Tela a cuadros borde zigzag ,,,,,,,,
Corcho N° 10,Natural,,,,31.8 - 32.1 mm,,,,,25.3 - 25.6 mm,19.4 - 19.6 mm,,,,,,,,,,,,,
Dosificador canastilla 31.5,Blanco,,,,21.5 - 21.9 mm,,,,,23 mm,11 mm,,,,,,,,,,,,,
Jarrita aceitera x 250 ml,Transparente,265 +/- 11 g,,,147 +/- 1.5 mm,,,,,,,,,266 +/- 5 ml,,,,,,,,,,
Tapa pilfer,Dorado brillante,,,,24 +/-1 mm,,,,31.5 mm,,,9,,,,,Lisa / rosca,,,,,,,
Tapa PET N° 45,Verde esmeralda,,,,17.30 - 17.50 mm,,51.30 - 51.50 mm,,,,,10,,,,,,,,,,,,
Tapa PET N° 28,Verde esmeralda,,,,20.10 - 20.70 mm,,29.6 -30.1 mm,,,,, 12- 18,,,,,,,,,,,,
Aceite de Oliva Virgen,Amarillo ,,,,,,,,,,,,,,,Translucido brillante,,Característico,Característico,,,,,
Ácido acético,Incoloro,,,,,,,,,,,,,,,,,"Penetrante, picante",,,,,,
Ácido cítrico,Blanco,,,,,,,,,,,,,,,Cristales,,Neutro,,,,,,
Ají panca,Rojo oscuro,,,,,,,,,,,,,,,Bayas arrugadas alargadas,,Característico,Picante,Firme,,,,
Ajo pelado,Crema / blanco,,,,,,,,,,,,,,250 - 350 / 350 - 450,Fresco / limpio,,Característico,Característico,Firme,,,,
Aroma Ajo 16447/SZ - Aromas del Perú,Amarillo ligero translúcido ,,,,,,,,,,,,,,,,,Ajo,Ajo,,1.4805 - 1.4905,,,
Aroma Ajo FL - 14456S - Aromas del Perú,Amarillo ligero translúcido ,,,,,,,,,,,,,,,,,Ajo,Ajo,,1.4500 - 1.4800,,,
Azúcar blanca doméstica,Blanco,,,,,,,,,,,,,,,Cristales,,Caña de azúcar,Dulce,Granulada,,,,
Bebida gasificada  jarabeada,Negro,,,,,,,,,,,,,,,,,cola negra,cola negra,,,  8 - 15,2.5 - 4,
Benzoato de sodio,Blanco,,,,,,,,,,,,,,,cristalina,,,, Granulada,,,,
BHT,Blanco,,,,,,,,,,,,,,,Escamas,,Inodoro,,,,,,
